GENUS,TPL_FAMILY,TPL_STATUS,TPL_URL
Bilabrella,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Bilabrella/
Bilacunaria,Apiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Bilacunaria/
Bilderdykia,Polygonaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Bilderdykia/
Billardiera,Pittosporaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Pittosporaceae/Billardiera/
Billbergia,Bromeliaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Bromeliaceae/Billbergia/
Billburttia,Apiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Billburttia/
Billia,Sapindaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Sapindaceae/Billia/
Billieturnera,Malvaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Billieturnera/
Billya,Compositae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Billya/
Biltia,Ericaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Ericaceae/Biltia/
Binaria,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Binaria/
Binghamia,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Binghamia/
Biondia,Apocynaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Biondia/
Bionia,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bionia/
Biophytum,Oxalidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Oxalidaceae/Biophytum/
Biotia,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Biotia/
Biovularia,Lentibulariaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Lentibulariaceae/Biovularia/
Bipinnula,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Bipinnula/
Bipontinia,Leguminosae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bipontinia/
Birnbaumia,Acanthaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Birnbaumia/
Biropteris,Aspleniaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/P/Aspleniaceae/Biropteris/
Birostula,Apiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Birostula/
Bisboeckelera,Cyperaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Cyperaceae/Bisboeckelera/
Bischofia,Phyllanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Phyllanthaceae/Bischofia/
Biscutella,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Biscutella/
Biserrula,Leguminosae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Biserrula/
Bisetaria,Ochnaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Ochnaceae/Bisetaria/
Bisglaziovia,Melastomataceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Bisglaziovia/
Bisgoeppertia,Gentianaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gentianaceae/Bisgoeppertia/
Bishopalea,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Bishopalea/
Bishopanthus,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Bishopanthus/
Bishopiella,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Bishopiella/
Bishovia,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Bishovia/
Bismarckia,Arecaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Bismarckia/
Bissetia,Neckeraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Neckeraceae/Bissetia/
Bistella,Vahliaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Vahliaceae/Bistella/
Bistorta,Polygonaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Bistorta/
Biswarea,Cucurbitaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Cucurbitaceae/Biswarea/
Bituminaria,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bituminaria/
Bivinia,Salicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Salicaceae/Bivinia/
Bivolva,Balanophoraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Balanophoraceae/Bivolva/
Bivonaea,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Bivonaea/
Bixa,Bixaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Bixaceae/Bixa/
Bizonula,Sapindaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Sapindaceae/Bizonula/
Blachia,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Blachia/
Blackallia,Rhamnaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rhamnaceae/Blackallia/
Blackburnia,Rutaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Blackburnia/
Blackstonia,Gentianaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gentianaceae/Blackstonia/
Bladhia,Primulaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Primulaceae/Bladhia/
Blaeria,Ericaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Ericaceae/Blaeria/
Blainvillea,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Blainvillea/
Blakea,Melastomataceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Blakea/
Blakeanthus,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Blakeanthus/
Blakiella,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Blakiella/
Blanchea,Compositae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Blanchea/
Blanchetia,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Blanchetia/
Blanchetiastrum,Malvaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Blanchetiastrum/
Blanchetiodendron,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Blanchetiodendron/
Blancoa,Haemodoraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Haemodoraceae/Blancoa/
Blandfordia,Blandfordiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Blandfordiaceae/Blandfordia/
Blandowia,Podostemaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Podostemaceae/Blandowia/
Blasia,Blasiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Blasiaceae/Blasia/
Blastania,Cucurbitaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cucurbitaceae/Blastania/
Blastemanthus,Ochnaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Ochnaceae/Blastemanthus/
Blastotrophe,Apocynaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Blastotrophe/
Blastus,Melastomataceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Blastus/
Bleasdalea,Proteaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Proteaceae/Bleasdalea/
Blechnidium,Blechnaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Blechnaceae/Blechnidium/
Blechnopsis,Blechnaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Blechnaceae/Blechnopsis/
Blechnopteris,Blechnaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/P/Blechnaceae/Blechnopteris/
Blechnum,Blechnaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Blechnaceae/Blechnum/
Blechum,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Blechum/
Blechum,Blechnaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/P/Blechnaceae/Blechum/
Bleekrodea,Moraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Moraceae/Bleekrodea/
Blencocoes,Solanaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Solanaceae/Blencocoes/
Blennoderma,Onagraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Onagraceae/Blennoderma/
Blennodia,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Blennodia/
Blennosperma,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Blennosperma/
Blennospora,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Blennospora/
Blepharandra,Malpighiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malpighiaceae/Blepharandra/
Blepharanthera,Apocynaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Blepharanthera/
Blepharidachne,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Blepharidachne/
Blepharidium,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Blepharidium/
Blepharidophyllum,Scapaniaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Scapaniaceae/Blepharidophyllum/
Blephariglottis,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Blephariglottis/
Blepharipappus,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Blepharipappus/
Blepharis,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Blepharis/
Blepharispermum,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Blepharispermum/
Blepharistemma,Rhizophoraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rhizophoraceae/Blepharistemma/
Blepharizonia,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Blepharizonia/
Blepharocalyx,Myrtaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Myrtaceae/Blepharocalyx/
Blepharocarya,Anacardiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Anacardiaceae/Blepharocarya/
Blepharochlamys,Balanophoraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Balanophoraceae/Blepharochlamys/
Blepharodon,Apocynaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Blepharodon/
Blepharolejeunea,Lejeuneaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Lejeuneaceae/Blepharolejeunea/
Blepharolepis,Cyperaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cyperaceae/Blepharolepis/
Blepharoneuron,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Blepharoneuron/
Blepharostoma,Pseudolepicoleaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Pseudolepicoleaceae/Blepharostoma/
Blepharozia,Ptilidiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Ptilidiaceae/Blepharozia/
Blephilia,Lamiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Blephilia/
Blephiloma,Lamiaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Lamiaceae/Blephiloma/
Blephistelma,Passifloraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Passifloraceae/Blephistelma/
Bletia,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Bletia/
Bletilla,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Bletilla/
Blighia,Sapindaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Sapindaceae/Blighia/
Blighiopsis,Sapindaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Sapindaceae/Blighiopsis/
Blindia,Seligeriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Seligeriaceae/Blindia/
Blindiopsis,Seligeriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Seligeriaceae/Blindiopsis/
Blinkworthia,Convolvulaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Convolvulaceae/Blinkworthia/
Blitum,Amaranthaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Blitum/
Blochmannia,Polygonaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Polygonaceae/Blochmannia/
Blomia,Sapindaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Sapindaceae/Blomia/
Blondia,Saxifragaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Saxifragaceae/Blondia/
Bloomeria,Asparagaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Asparagaceae/Bloomeria/
Blossfeldia,Cactaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Blossfeldia/
Blotiella,Dennstaedtiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Dennstaedtiaceae/Blotiella/
Blumea,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Blumea/
Blumella,Loranthaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Loranthaceae/Blumella/
Blumenbachia,Loasaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Loasaceae/Blumenbachia/
Blumeodendron,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Blumeodendron/
Blumeopsis,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Blumeopsis/
Blutaparon,Amaranthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaranthaceae/Blutaparon/
Blysmopsis,Cyperaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cyperaceae/Blysmopsis/
Blysmus,Cyperaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Cyperaceae/Blysmus/
Blyttia,Apocynaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Blyttia/
Blyttia,Pallaviciniaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/B/Pallaviciniaceae/Blyttia/
Blyxa,Hydrocharitaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Hydrocharitaceae/Blyxa/
Bobartia,Iridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Iridaceae/Bobartia/
Bobea,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Bobea/
Boberella,Solanaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Solanaceae/Boberella/
Bobgunnia,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bobgunnia/
Bobrovia,Leguminosae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bobrovia/
Bocagea,Annonaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Annonaceae/Bocagea/
Bocageopsis,Annonaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Annonaceae/Bocageopsis/
Bocconia,Papaveraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Papaveraceae/Bocconia/
Bocoa,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bocoa/
Bocquillonia,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Bocquillonia/
Boea,Gesneriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Boea/
Boeberastrum,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Boeberastrum/
Boeberoides,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Boeberoides/
Boechera,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Boechera/
Boecherarctica,Saxifragaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Saxifragaceae/Boecherarctica/
Boehmeria,Urticaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Urticaceae/Boehmeria/
Boehmeriopsis,Moraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Moraceae/Boehmeriopsis/
Boeica,Gesneriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Gesneriaceae/Boeica/
Boelckea,Scrophulariaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Scrophulariaceae/Boelckea/
Boelia,Leguminosae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Boelia/
Boenninghausenia,Rutaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Boenninghausenia/
Boerhaavia,Nyctaginaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Nyctaginaceae/Boerhaavia/
Boerhavia,Nyctaginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Nyctaginaceae/Boerhavia/
Boerlagea,Melastomataceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Boerlagea/
Boerlagella,Sapotaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Sapotaceae/Boerlagella/
Boerlagiodendron,Araliaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Araliaceae/Boerlagiodendron/
Boesenbergia,Zingiberaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Zingiberaceae/Boesenbergia/
Bognera,Araceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Araceae/Bognera/
Bogoria,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Bogoria/
Bohadschia,Passifloraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Passifloraceae/Bohadschia/
Boholia,Rubiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Rubiaceae/Boholia/
Boisduvalia,Onagraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Onagraceae/Boisduvalia/
Boissiera,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Boissiera/
Bolandia,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Bolandia/
Bolandra,Saxifragaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Saxifragaceae/Bolandra/
Bolanosa,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Bolanosa/
Bolanthus,Caryophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Caryophyllaceae/Bolanthus/
Bolax,Apiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Bolax/
Bolbitis,Dryopteridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Dryopteridaceae/Bolbitis/
Bolbosaponaria,Caryophyllaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Caryophyllaceae/Bolbosaponaria/
Bolboschoenoplectus,Cyperaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Cyperaceae/Bolboschoenoplectus/
Bolboschoenus,Cyperaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Cyperaceae/Bolboschoenus/
Bolbostemma,Cucurbitaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Cucurbitaceae/Bolbostemma/
Boldoa,Nyctaginaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Nyctaginaceae/Boldoa/
Boleum,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Boleum/
Bolina,Melastomataceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Melastomataceae/Bolina/
Bolivaria,Oleaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Oleaceae/Bolivaria/
Bolivicactus,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Bolivicactus/
Bollea,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Bollea/
Bolleo-chondrorhyncha,Orchidaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Bolleo-chondrorhyncha/
Bollwilleria,Rosaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Rosaceae/Bollwilleria/
Bolocephalus,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Bolocephalus/
Bolophyta,Compositae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Bolophyta/
Boltonia,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Boltonia/
Bolusanthus,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bolusanthus/
Bolusia,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bolusia/
Bolusiella,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Bolusiella/
Bomarea,Alstroemeriaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Alstroemeriaceae/Bomarea/
Bombax,Malvaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Bombax/
Bombycella,Malvaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Bombycella/
Bombycidendron,Malvaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Bombycidendron/
Bombycilaena,Compositae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Compositae/Bombycilaena/
Bommeria,Pteridaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Pteridaceae/Bommeria/
Bona,Leguminosae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bona/
Bonafousia,Apocynaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Apocynaceae/Bonafousia/
Bonaga,Leguminosae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bonaga/
Bonamia,Convolvulaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Convolvulaceae/Bonamia/
Bonamiopsis,Convolvulaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Convolvulaceae/Bonamiopsis/
Bonania,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Bonania/
Bonannia,Apiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Apiaceae/Bonannia/
Bonanox,Convolvulaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Convolvulaceae/Bonanox/
Bonapartea,Asparagaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Asparagaceae/Bonapartea/
Bonapartea,Bromeliaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Bromeliaceae/Bonapartea/
Bonatea,Orchidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Orchidaceae/Bonatea/
Bonaveria,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bonaveria/
Bonduc,Leguminosae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bonduc/
Bonellia,Primulaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Primulaceae/Bonellia/
Bonetiella,Anacardiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Anacardiaceae/Bonetiella/
Bongardia,Berberidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Berberidaceae/Bongardia/
Bonia,Poaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Bonia/
Boninia,Rutaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Rutaceae/Boninia/
Boniniella,Aspleniaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/P/Aspleniaceae/Boniniella/
Boniodendron,Sapindaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Sapindaceae/Boniodendron/
Bonjeanea,Leguminosae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bonjeanea/
Bonjeania,Leguminosae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Bonjeania/
Bonnaya,Linderniaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Linderniaceae/Bonnaya/
Bonnayodes,Plantaginaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Plantaginaceae/Bonnayodes/
Bonnetia,Bonnetiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Bonnetiaceae/Bonnetia/
Bonplandia,Polemoniaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Polemoniaceae/Bonplandia/
Bontia,Scrophulariaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Scrophulariaceae/Bontia/
Bonyunia,Loganiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Loganiaceae/Bonyunia/
Boophone,Amaryllidaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Amaryllidaceae/Boophone/
Boopis,Calyceraceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Calyceraceae/Boopis/
Boothia,Papaveraceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Papaveraceae/Boothia/
Boquila,Lardizabalaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Lardizabalaceae/Boquila/
Boraginella,Boraginaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Boraginaceae/Boraginella/
Boraginodes,Boraginaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Boraginaceae/Boraginodes/
Borago,Boraginaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Boraginaceae/Borago/
Borassodendron,Arecaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Borassodendron/
Borassus,Arecaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Arecaceae/Borassus/
Borbonia,Leguminosae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Leguminosae/Borbonia/
Bordasia,Malvaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Malvaceae/Bordasia/
Boreava,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Boreava/
Borinda,Poaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Poaceae/Borinda/
Borismene,Menispermaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Menispermaceae/Borismene/
Borkersia,Cactaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Cactaceae/Borkersia/
Borneacanthus,Acanthaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Acanthaceae/Borneacanthus/
Borneodendron,Euphorbiaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Euphorbiaceae/Borneodendron/
Borneosicyos,Cucurbitaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Cucurbitaceae/Borneosicyos/
Bornmuellera,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Bornmuellera/
Bornmuellerantha,Scrophulariaceae,Unresolved genus,http://www.theplantlist.org/1.1/browse/A/Scrophulariaceae/Bornmuellerantha/
Borodinia,Brassicaceae,Accepted genus,http://www.theplantlist.org/1.1/browse/A/Brassicaceae/Borodinia/
